N,sigma,epsilon,delta,method,rep,beta_true_00,beta_true_01,beta_true_11,beta_est_00,beta_est_01,beta_est_11
100,1.0,5.635918426327381,1e-05,edge_flip,6,0.2,0.02,0.2,0.20196275413036346,0.01978594809770584,0.20196275413036346
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,7,0.2,0.02,0.2,0.23714768886566162,0.01704956218600273,0.22267504036426544
100,1.0,5.635918426327381,1e-05,gaussian,7,0.2,0.02,0.2,0.2163446843624115,0.018055705353617668,0.22746635973453522
100,1.0,5.635918426327381,1e-05,edge_flip,7,0.2,0.02,0.2,0.2175840139389038,0.01978594809770584,0.2249835580587387
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,8,0.2,0.02,0.2,0.21762017905712128,0.017604393884539604,0.17852531373500824
100,1.0,5.635918426327381,1e-05,gaussian,8,0.2,0.02,0.2,0.2005014568567276,0.01910790428519249,0.17288920283317566
100,1.0,5.635918426327381,1e-05,edge_flip,8,0.2,0.02,0.2,0.20031841099262238,0.01857735589146614,0.17565326392650604
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,9,0.2,0.02,0.2,0.22216103971004486,0.01639062911272049,0.18555021286010742
100,1.0,5.635918426327381,1e-05,gaussian,9,0.2,0.02,0.2,0.20760062336921692,0.022169534116983414,0.18836887180805206
100,1.0,5.635918426327381,1e-05,edge_flip,9,0.2,0.02,0.2,0.21429532766342163,0.02462031878530979,0.18551932275295258
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,10,0.2,0.02,0.2,0.21025943756103516,0.018911711871623993,0.1894509494304657
100,1.0,5.635918426327381,1e-05,gaussian,10,0.2,0.02,0.2,0.18611837923526764,0.021740242838859558,0.18881602585315704
100,1.0,5.635918426327381,1e-05,edge_flip,10,0.2,0.02,0.2,0.1879858374595642,0.02341172657907009,0.1912745237350464
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,11,0.2,0.02,0.2,0.2238006293773651,0.01566152460873127,0.22195826470851898
100,1.0,5.635918426327381,1e-05,gaussian,11,0.2,0.02,0.2,0.20607711374759674,0.0208582766354084,0.20272181928157806
100,1.0,5.635918426327381,1e-05,edge_flip,11,0.2,0.02,0.2,0.20360709726810455,0.021397404372692108,0.2044292688369751
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,12,0.2,0.02,0.2,0.20260466635227203,0.014024957083165646,0.22449789941310883
100,1.0,5.635918426327381,1e-05,gaussian,12,0.2,0.02,0.2,0.19631312787532806,0.018098680302500725,0.2176639437675476
100,1.0,5.635918426327381,1e-05,edge_flip,12,0.2,0.02,0.2,0.1953853815793991,0.016563035547733307,0.21511749923229218
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,13,0.2,0.02,0.2,0.20104195177555084,0.01715511456131935,0.22324040532112122
100,1.0,5.635918426327381,1e-05,gaussian,13,0.2,0.02,0.2,0.18657970428466797,0.02374427393078804,0.196518674492836
100,1.0,5.635918426327381,1e-05,edge_flip,13,0.2,0.02,0.2,0.1879858374595642,0.02462031878530979,0.19785189628601074
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,14,0.2,0.02,0.2,0.2173941433429718,0.013825342059135437,0.1900157779455185
100,1.0,5.635918426327381,1e-05,gaussian,14,0.2,0.02,0.2,0.22075775265693665,0.01576930470764637,0.19361378252506256
100,1.0,5.635918426327381,1e-05,edge_flip,14,0.2,0.02,0.2,0.21676184237003326,0.01495157927274704,0.1953853815793991
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,15,0.2,0.02,0.2,0.21457883715629578,0.016012942418456078,0.20149390399456024
100,1.0,5.635918426327381,1e-05,gaussian,15,0.2,0.02,0.2,0.20739220082759857,0.019045894965529442,0.18996042013168335
100,1.0,5.635918426327381,1e-05,edge_flip,15,0.2,0.02,0.2,0.20525144040584564,0.020591676235198975,0.1970297247171402
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,16,0.2,0.02,0.2,0.21830043196678162,0.017010560259222984,0.19450470805168152
100,1.0,5.635918426327381,1e-05,gaussian,16,0.2,0.02,0.2,0.20338572561740875,0.01904933899641037,0.1984194666147232
100,1.0,5.635918426327381,1e-05,edge_flip,16,0.2,0.02,0.2,0.20360709726810455,0.01736876368522644,0.20360709726810455
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,17,0.2,0.02,0.2,0.22277629375457764,0.0170730073004961,0.22760023176670074
100,1.0,5.635918426327381,1e-05,gaussian,17,0.2,0.02,0.2,0.2003064602613449,0.02343977615237236,0.20841115713119507
100,1.0,5.635918426327381,1e-05,edge_flip,17,0.2,0.02,0.2,0.19949623942375183,0.022605998441576958,0.20360709726810455
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,18,0.2,0.02,0.2,0.20861388742923737,0.015239018946886063,0.19959811866283417
100,1.0,5.635918426327381,1e-05,gaussian,18,0.2,0.02,0.2,0.18839514255523682,0.021132269874215126,0.20006050169467926
100,1.0,5.635918426327381,1e-05,edge_flip,18,0.2,0.02,0.2,0.18716366589069366,0.021800270304083824,0.20114058256149292
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,19,0.2,0.02,0.2,0.21925798058509827,0.014923512004315853,0.2154386192560196
100,1.0,5.635918426327381,1e-05,gaussian,19,0.2,0.02,0.2,0.20613031089305878,0.014893317595124245,0.1878979504108429
100,1.0,5.635918426327381,1e-05,edge_flip,19,0.2,0.02,0.2,0.2101844698190689,0.014548715204000473,0.19456321001052856
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,0,0.2,0.02,0.2,0.21185533702373505,0.015155005268752575,0.21211767196655273
100,2.0,2.668102829441137,1e-05,gaussian,0,0.2,0.02,0.2,0.2031475305557251,0.017328305169939995,0.20441670715808868
100,2.0,2.668102829441137,1e-05,edge_flip,0,0.2,0.02,0.2,0.2021685391664505,0.020589839667081833,0.2190534770488739
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,1,0.2,0.02,0.2,0.20055633783340454,0.015771253034472466,0.22170346975326538
100,2.0,2.668102829441137,1e-05,gaussian,1,0.2,0.02,0.2,0.1883198618888855,0.022667421028017998,0.2172769457101822
100,2.0,2.668102829441137,1e-05,edge_flip,1,0.2,0.02,0.2,0.1759030818939209,0.021049484610557556,0.2246817797422409
