N,sigma,epsilon,rep,method,epsilon_gamma,epsilon_beta,epsilon_rho,delta,beta_true_00,beta_true_01,beta_true_11,beta_est_00,beta_est_01,beta_est_11
100,5.0,4.150006096013556,10,sbm_dpsgd_all_noised,3.992894984902444,1.0338953100711687,0.36711225411365295,1e-05,0.2,0.02,0.2,0.21405044198036194,0.04709768295288086,0.22158832848072052
100,5.0,4.150006096013556,11,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.0,0.0,0.11241403967142105
100,5.0,4.150006096013556,11,sbm_dpsgd_all_noised,3.992894984902444,1.0338953100711687,0.36711225411365295,1e-05,0.2,0.02,0.2,0.17835430800914764,0.11921093612909317,0.2468440681695938
100,5.0,4.150006096013556,12,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.1844925731420517,0.01824670098721981,0.1971297264099121
100,5.0,4.150006096013556,12,sbm_dpsgd_all_noised,3.992894984902444,1.0338953100711687,0.36711225411365295,1e-05,0.2,0.02,0.2,0.220682755112648,0.0723729059100151,0.23362575471401215
100,5.0,4.150006096013556,13,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.22408896684646606,0.01865951530635357,0.18533505499362946
100,5.0,4.150006096013556,13,sbm_dpsgd_all_noised,3.992894984902444,1.0338953100711687,0.36711225411365295,1e-05,0.2,0.02,0.2,0.28121888637542725,0.0578388050198555,0.1945277899503708
100,5.0,4.150006096013556,14,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.20555448532104492,0.02526453137397766,0.1777527630329132
100,5.0,4.150006096013556,14,sbm_dpsgd_all_noised,3.992894984902444,1.0338953100711687,0.36711225411365295,1e-05,0.2,0.02,0.2,0.21906627714633942,0.10941659659147263,0.2542593777179718
100,5.0,4.150006096013556,15,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.18634271621704102,0.01949934847652912,0.19372470676898956
100,5.0,4.150006096013556,15,sbm_dpsgd_all_noised,3.992894984902444,1.0338953100711687,0.36711225411365295,1e-05,0.2,0.02,0.2,0.21891610324382782,0.0921393409371376,0.2590135335922241
100,5.0,4.150006096013556,16,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.18533505499362946,0.020723583176732063,0.19881467521190643
100,5.0,4.150006096013556,16,sbm_dpsgd_all_noised,3.992894984902444,1.0338953100711687,0.36711225411365295,1e-05,0.2,0.02,0.2,0.1884952038526535,0.13213390111923218,0.2139279991388321
100,5.0,4.150006096013556,17,edge_flip_vem,,,,1e-05,0.2,0.02,0.2,0.10761872678995132,0.0,0.0
100,5.0,4.150006096013556,17,sbm_dpsgd_all_noised,3.992894984902444,1.0338953100711687,0.36711225411365295,1e-05,0.2,0.02,0.2,0.25578320026397705,0.14397874474525452,0.18806374073028564
