N,sigma,epsilon,delta,method,rep,beta_true_00,beta_true_01,beta_true_11,beta_est_00,beta_est_01,beta_est_11
100,2.0,2.668102829441137,1e-05,edge_flip,10,0.2,0.02,0.2,0.2143632173538208,0.025645939633250237,0.2171773612499237
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,11,0.2,0.02,0.2,0.21511922776699066,0.02770499512553215,0.22013770043849945
100,2.0,2.668102829441137,1e-05,gaussian,11,0.2,0.02,0.2,0.19954848289489746,0.021034251898527145,0.1880519688129425
100,2.0,2.668102829441137,1e-05,edge_flip,11,0.2,0.02,0.2,0.1899738609790802,0.025186294689774513,0.1871597021818161
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,12,0.2,0.02,0.2,0.20858721435070038,0.04145891219377518,0.2302270382642746
100,2.0,2.668102829441137,1e-05,gaussian,12,0.2,0.02,0.2,0.18932130932807922,0.018719995394349098,0.201594278216362
100,2.0,2.668102829441137,1e-05,edge_flip,12,0.2,0.02,0.2,0.1862216591835022,0.021049484610557556,0.2077968418598175
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,13,0.2,0.02,0.2,0.22939692437648773,0.03298437222838402,0.24182216823101044
100,2.0,2.668102829441137,1e-05,gaussian,13,0.2,0.02,0.2,0.21254481375217438,0.02195226028561592,0.20294925570487976
100,2.0,2.668102829441137,1e-05,edge_flip,13,0.2,0.02,0.2,0.2143632173538208,0.01691267639398575,0.2049826979637146
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,14,0.2,0.02,0.2,0.2299291491508484,0.024333814159035683,0.22729402780532837
100,2.0,2.668102829441137,1e-05,gaussian,14,0.2,0.02,0.2,0.18596072494983673,0.012636033818125725,0.1961384117603302
100,2.0,2.668102829441137,1e-05,edge_flip,14,0.2,0.02,0.2,0.1946641206741333,0.0228880662471056,0.1974782794713974
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,15,0.2,0.02,0.2,0.23315542936325073,0.0508391410112381,0.24205976724624634
100,2.0,2.668102829441137,1e-05,gaussian,15,0.2,0.02,0.2,0.20544296503067017,0.021847078576683998,0.20183399319648743
100,2.0,2.668102829441137,1e-05,edge_flip,15,0.2,0.02,0.2,0.2012304812669754,0.030242392793297768,0.2002924382686615
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,16,0.2,0.02,0.2,0.23260243237018585,0.04462714120745659,0.2659691274166107
100,2.0,2.668102829441137,1e-05,gaussian,16,0.2,0.02,0.2,0.19564223289489746,0.025571798905730247,0.22034862637519836
100,2.0,2.668102829441137,1e-05,edge_flip,16,0.2,0.02,0.2,0.2077968418598175,0.033919557929039,0.2209295779466629
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,17,0.2,0.02,0.2,0.23627662658691406,0.032754771411418915,0.20233085751533508
100,2.0,2.668102829441137,1e-05,gaussian,17,0.2,0.02,0.2,0.20570044219493866,0.024762287735939026,0.20666861534118652
100,2.0,2.668102829441137,1e-05,edge_flip,17,0.2,0.02,0.2,0.1890358179807663,0.02748452126979828,0.1918499618768692
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,18,0.2,0.02,0.2,0.21422158181667328,0.025785742327570915,0.22782710194587708
100,2.0,2.668102829441137,1e-05,gaussian,18,0.2,0.02,0.2,0.18126186728477478,0.018252447247505188,0.1741783171892166
100,2.0,2.668102829441137,1e-05,edge_flip,18,0.2,0.02,0.2,0.1834075003862381,0.01875125803053379,0.1777791827917099
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,19,0.2,0.02,0.2,0.24834801256656647,0.050697773694992065,0.21846109628677368
100,2.0,2.668102829441137,1e-05,gaussian,19,0.2,0.02,0.2,0.19587674736976624,0.023312127217650414,0.17353065311908722
100,2.0,2.668102829441137,1e-05,edge_flip,19,0.2,0.02,0.2,0.2021685391664505,0.0228880662471056,0.1796552985906601
100,5.0,1.0338953100711687,1e-05,sbm_dpsgd,0,0.2,0.02,0.2,0.2618845999240875,0.02627200447022915,0.2398533672094345
100,5.0,1.0338953100711687,1e-05,gaussian,0,0.2,0.02,0.2,0.1899779587984085,0.025113750249147415,0.20886465907096863
100,5.0,1.0338953100711687,1e-05,edge_flip,0,0.2,0.02,0.2,0.20547445118427277,0.008563090115785599,0.1917356550693512
100,5.0,1.0338953100711687,1e-05,sbm_dpsgd,1,0.2,0.02,0.2,0.21110031008720398,0.02597443386912346,0.2231120616197586
