N,sigma,epsilon,delta,method,rep,beta_true_00,beta_true_01,beta_true_11,beta_est_00,beta_est_01,beta_est_11
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,9,0.2,0.02,0.2,0.00022058318427298218,0.9997694492340088,0.00021764084522146732
100,1.0,5.635918426327381,1e-05,gaussian,9,0.2,0.02,0.2,0.20886608958244324,0.023796895518898964,0.18631777167320251
100,1.0,5.635918426327381,1e-05,edge_flip,9,0.2,0.02,0.2,0.20936229825019836,0.02341172657907009,0.18634149432182312
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,10,0.2,0.02,0.2,0.00021507310157176107,0.9997574090957642,0.00021550964447669685
100,1.0,5.635918426327381,1e-05,gaussian,10,0.2,0.02,0.2,0.18988510966300964,0.021489014849066734,0.18706926703453064
100,1.0,5.635918426327381,1e-05,edge_flip,10,0.2,0.02,0.2,0.18880800902843475,0.020591676235198975,0.1879858374595642
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,11,0.2,0.02,0.2,0.0002149593346985057,0.9997663497924805,0.00021657580509781837
100,1.0,5.635918426327381,1e-05,gaussian,11,0.2,0.02,0.2,0.20029360055923462,0.01987791247665882,0.1999412626028061
100,1.0,5.635918426327381,1e-05,edge_flip,11,0.2,0.02,0.2,0.20360709726810455,0.021397404372692108,0.2044292688369751
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,12,0.2,0.02,0.2,0.00020112708443775773,0.9997525811195374,0.00020352660794742405
100,1.0,5.635918426327381,1e-05,gaussian,12,0.2,0.02,0.2,0.19505013525485992,0.0179740060120821,0.21713680028915405
100,1.0,5.635918426327381,1e-05,edge_flip,12,0.2,0.02,0.2,0.19785189628601074,0.018980219960212708,0.21429532766342163
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,13,0.2,0.02,0.2,0.0002106603787979111,0.9997583627700806,0.00021527439821511507
100,1.0,5.635918426327381,1e-05,gaussian,13,0.2,0.02,0.2,0.19017048180103302,0.02401251718401909,0.1948048621416092
100,1.0,5.635918426327381,1e-05,edge_flip,13,0.2,0.02,0.2,0.18634149432182312,0.023814590647816658,0.20031841099262238
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,14,0.2,0.02,0.2,0.00021598723833449185,0.9997568726539612,0.00021007527539040893
100,1.0,5.635918426327381,1e-05,gaussian,14,0.2,0.02,0.2,0.2205463945865631,0.016023987904191017,0.19124974310398102
100,1.0,5.635918426327381,1e-05,edge_flip,14,0.2,0.02,0.2,0.2175840139389038,0.017771627753973007,0.19291886687278748
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,15,0.2,0.02,0.2,0.00020512113405857235,0.9997571706771851,0.00020428348216228187
100,1.0,5.635918426327381,1e-05,gaussian,15,0.2,0.02,0.2,0.20186232030391693,0.019429972395300865,0.18995700776576996
100,1.0,5.635918426327381,1e-05,edge_flip,15,0.2,0.02,0.2,0.202784925699234,0.01978594809770584,0.19291886687278748
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,16,0.2,0.02,0.2,0.00021760693925898522,0.9997643828392029,0.00021665806707460433
100,1.0,5.635918426327381,1e-05,gaussian,16,0.2,0.02,0.2,0.20461012423038483,0.01765129528939724,0.2013741433620453
100,1.0,5.635918426327381,1e-05,edge_flip,16,0.2,0.02,0.2,0.2060736119747162,0.01736876368522644,0.20114058256149292
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,17,0.2,0.02,0.2,0.0002222944749519229,0.9997584819793701,0.0002228154771728441
100,1.0,5.635918426327381,1e-05,gaussian,17,0.2,0.02,0.2,0.19967792928218842,0.024670246988534927,0.20058555901050568
100,1.0,5.635918426327381,1e-05,edge_flip,17,0.2,0.02,0.2,0.19785189628601074,0.02099454030394554,0.20360709726810455
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,18,0.2,0.02,0.2,0.00021864133304916322,0.999756932258606,0.00022397162683773786
100,1.0,5.635918426327381,1e-05,gaussian,18,0.2,0.02,0.2,0.18564434349536896,0.019474880769848824,0.19894848763942719
100,1.0,5.635918426327381,1e-05,edge_flip,18,0.2,0.02,0.2,0.18880800902843475,0.02099454030394554,0.20196275413036346
100,1.0,5.635918426327381,1e-05,sbm_dpsgd,19,0.2,0.02,0.2,0.00019597575010266155,0.9997447729110718,0.00019423013145569712
100,1.0,5.635918426327381,1e-05,gaussian,19,0.2,0.02,0.2,0.20828969776630402,0.016350790858268738,0.1905962973833084
100,1.0,5.635918426327381,1e-05,edge_flip,19,0.2,0.02,0.2,0.20854012668132782,0.016563035547733307,0.18880800902843475
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,0,0.2,0.02,0.2,0.00021111707610543817,0.9997523427009583,0.0002099812845699489
100,2.0,2.668102829441137,1e-05,gaussian,0,0.2,0.02,0.2,0.2024984061717987,0.022250192239880562,0.2059398889541626
100,2.0,2.668102829441137,1e-05,edge_flip,0,0.2,0.02,0.2,0.1880977600812912,0.01737232133746147,0.1862216591835022
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,1,0.2,0.02,0.2,0.00021229559206403792,0.9997572898864746,0.00021159405878279358
100,2.0,2.668102829441137,1e-05,gaussian,1,0.2,0.02,0.2,0.18768125772476196,0.019148504361510277,0.2240971475839615
100,2.0,2.668102829441137,1e-05,edge_flip,1,0.2,0.02,0.2,0.1815313994884491,0.01875125803053379,0.2171773612499237
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,2,0.2,0.02,0.2,0.00020481164392549545,0.999752938747406,0.00020877859788015485
100,2.0,2.668102829441137,1e-05,gaussian,2,0.2,0.02,0.2,0.21038959920406342,0.01823311112821102,0.20902472734451294
100,2.0,2.668102829441137,1e-05,edge_flip,2,0.2,0.02,0.2,0.2031065821647644,0.010937286540865898,0.223743736743927
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,3,0.2,0.02,0.2,0.00021550190285779536,0.9997555613517761,0.00021110904344823211
100,2.0,2.668102829441137,1e-05,gaussian,3,0.2,0.02,0.2,0.1970890611410141,0.021280772984027863,0.16281571984291077
100,2.0,2.668102829441137,1e-05,edge_flip,3,0.2,0.02,0.2,0.1890358179807663,0.018291613087058067,0.1777791827917099
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,4,0.2,0.02,0.2,0.00019805105694103986,0.9997482895851135,0.00020029630104545504
100,2.0,2.668102829441137,1e-05,gaussian,4,0.2,0.02,0.2,0.2016933411359787,0.020422643050551414,0.1992519199848175
100,2.0,2.668102829441137,1e-05,edge_flip,4,0.2,0.02,0.2,0.1965402215719223,0.012316222302615643,0.1927880197763443
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,5,0.2,0.02,0.2,0.0002093543589580804,0.99976646900177,0.0002098163968184963
100,2.0,2.668102829441137,1e-05,gaussian,5,0.2,0.02,0.2,0.23028159141540527,0.01727110892534256,0.18360769748687744
100,2.0,2.668102829441137,1e-05,edge_flip,5,0.2,0.02,0.2,0.2453189194202423,0.021049484610557556,0.1909119188785553
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,6,0.2,0.02,0.2,0.00019774740212596953,0.9997535347938538,0.00019293632067274302
100,2.0,2.668102829441137,1e-05,gaussian,6,0.2,0.02,0.2,0.21513229608535767,0.023008164018392563,0.20625238120555878
100,2.0,2.668102829441137,1e-05,edge_flip,6,0.2,0.02,0.2,0.2040446400642395,0.018291613087058067,0.2040446400642395
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,7,0.2,0.02,0.2,0.00021022262808401138,0.9997631311416626,0.0002103686856571585
100,2.0,2.668102829441137,1e-05,gaussian,7,0.2,0.02,0.2,0.20759131014347076,0.01937059685587883,0.19923952221870422
100,2.0,2.668102829441137,1e-05,edge_flip,7,0.2,0.02,0.2,0.1871597021818161,0.019670549780130386,0.2059207409620285
100,2.0,2.668102829441137,1e-05,sbm_dpsgd,8,0.2,0.02,0.2,0.0002168136852560565,0.9997571706771851,0.00021842194837518036
