N,sigma,epsilon,rep,method,dp_type,delta,flip_prob,n_flipped,frac_flipped,epochs,beta_true_00,beta_true_01,beta_true_11,beta_est_00,beta_est_01,beta_est_11,nmi
100,1.0,27.449962502007253,11,edge_flip_pure_dp,pure,0.0,1.1984854251634343e-12,0,0.0,199,0.2,0.02,0.2,0.11252525252432376,0.0,0.0,0.0
100,1.0,27.449962502007253,11,edge_flip_approx_dp,approx,1e-05,1.1984734403091827e-12,0,0.0,199,0.2,0.02,0.2,0.11252525252432377,0.0,0.0,0.0
100,1.0,27.449962502007253,12,edge_flip_pure_dp,pure,0.0,1.1984854251634343e-12,0,0.0,181,0.2,0.02,0.2,0.18448979591761108,0.01879999999884658,0.19755102040743833,1.0
100,1.0,27.449962502007253,12,edge_flip_approx_dp,approx,1e-05,1.1984734403091827e-12,0,0.0,181,0.2,0.02,0.2,0.18448979591761108,0.018799999998846594,0.19755102040743833,1.0
100,1.0,27.449962502007253,13,edge_flip_pure_dp,pure,0.0,1.1984854251634343e-12,0,0.0,656,0.2,0.02,0.2,0.21877551020340752,0.02319999999885712,0.1893877551012963,1.0
100,1.0,27.449962502007253,13,edge_flip_approx_dp,approx,1e-05,1.1984734403091827e-12,0,0.0,656,0.2,0.02,0.2,0.21877551020340752,0.023199999998857135,0.1893877551012963,1.0
100,1.0,27.449962502007253,14,edge_flip_pure_dp,pure,0.0,1.1984854251634343e-12,0,0.0,533,0.2,0.02,0.2,0.20816326530542292,0.021999999998854245,0.17877551020331167,1.0
100,1.0,27.449962502007253,14,edge_flip_approx_dp,approx,1e-05,1.1984734403091827e-12,0,0.0,533,0.2,0.02,0.2,0.20816326530542292,0.02199999999885426,0.17877551020331167,1.0
100,1.0,27.449962502007253,15,edge_flip_pure_dp,pure,0.0,1.1984854251634343e-12,0,0.0,268,0.2,0.02,0.2,0.1918367346931389,0.0175999999988437,0.1942857142849815,1.0
100,1.0,27.449962502007253,15,edge_flip_approx_dp,approx,1e-05,1.1984734403091827e-12,0,0.0,268,0.2,0.02,0.2,0.1918367346931389,0.017599999998843714,0.1942857142849815,1.0
100,1.0,27.449962502007253,16,edge_flip_pure_dp,pure,0.0,1.1984854251634343e-12,0,0.0,775,0.2,0.02,0.2,0.1926530612237531,0.02119999999885233,0.19346938775436728,1.0
100,1.0,27.449962502007253,16,edge_flip_approx_dp,approx,1e-05,1.1984734403091827e-12,0,0.0,775,0.2,0.02,0.2,0.1926530612237531,0.021199999998852345,0.19346938775436728,1.0
100,1.0,27.449962502007253,17,edge_flip_pure_dp,pure,0.0,1.1984854251634343e-12,0,0.0,243,0.2,0.02,0.2,0.19755102040743833,0.02439999999886,0.1885714285706821,1.0
100,1.0,27.449962502007253,17,edge_flip_approx_dp,approx,1e-05,1.1984734403091827e-12,0,0.0,243,0.2,0.02,0.2,0.19755102040743833,0.024399999998860014,0.1885714285706821,1.0
100,1.0,27.449962502007253,18,edge_flip_pure_dp,pure,0.0,1.1984854251634343e-12,0,0.0,247,0.2,0.02,0.2,0.2032653061217377,0.019999999998849455,0.1877551020400679,1.0
100,1.0,27.449962502007253,18,edge_flip_approx_dp,approx,1e-05,1.1984734403091827e-12,0,0.0,247,0.2,0.02,0.2,0.2032653061217377,0.01999999999884947,0.1877551020400679,1.0
100,1.0,27.449962502007253,19,edge_flip_pure_dp,pure,0.0,1.1984854251634343e-12,0,0.0,127,0.2,0.02,0.2,0.18448979591761108,0.015199999998837949,0.1926530612237531,1.0
100,1.0,27.449962502007253,19,edge_flip_approx_dp,approx,1e-05,1.1984734403091827e-12,0,0.0,127,0.2,0.02,0.2,0.18448979591761108,0.01519999999883796,0.1926530612237531,1.0
100,2.0,11.732851621374003,0,edge_flip_pure_dp,pure,0.0,8.025716197608862e-06,0,0.0,245,0.2,0.02,0.2,0.20326054302911642,0.017192250244044905,0.2179546564417049,1.0
100,2.0,11.732851621374003,0,edge_flip_approx_dp,approx,1e-05,8.025635940446885e-06,0,0.0,245,0.2,0.02,0.2,0.20326054307674812,0.017192250321543708,0.21795465648697793,1.0
100,2.0,11.732851621374003,1,edge_flip_pure_dp,pure,0.0,8.025716197608862e-06,0,0.0,237,0.2,0.02,0.2,0.20081152412701836,0.026392397919593344,0.1942808070547568,1.0
100,2.0,11.732851621374003,1,edge_flip_approx_dp,approx,1e-05,8.025635940446885e-06,0,0.0,237,0.2,0.02,0.2,0.20081152417504314,0.026392397995615366,0.19428080710382992,1.0
100,2.0,11.732851621374003,2,edge_flip_pure_dp,pure,0.0,8.025716197608862e-06,1,0.00020202020202020202,220,0.2,0.02,0.2,0.21305661863750874,0.01639223740269287,0.20326054302911642,1.0
100,2.0,11.732851621374003,2,edge_flip_approx_dp,approx,1e-05,8.025635940446885e-06,0,0.0,294,0.2,0.02,0.2,0.21305661868356798,0.016392237480320086,0.20244420344284647,1.0
100,2.0,11.732851621374003,3,edge_flip_pure_dp,pure,0.0,8.025716197608862e-06,0,0.0,654,0.2,0.02,0.2,0.1921519213424755,0.023201630416689874,0.22958749622667077,0.9291252238549075
100,2.0,11.732851621374003,3,edge_flip_approx_dp,approx,1e-05,8.025635940446885e-06,0,0.0,654,0.2,0.02,0.2,0.1921519213918903,0.02320163049322407,0.22958749627007652,0.9291252238549075
100,2.0,11.732851621374003,4,edge_flip_pure_dp,pure,0.0,8.025716197608862e-06,0,0.0,350,0.2,0.02,0.2,0.2057095619312145,0.01879227592674898,0.18938276925056066,1.0
100,2.0,11.732851621374003,4,edge_flip_approx_dp,approx,1e-05,8.025635940446885e-06,0,0.0,350,0.2,0.02,0.2,0.20570956197845308,0.018792276003990954,0.18938276930041997,1.0
100,2.0,11.732851621374003,5,edge_flip_pure_dp,pure,0.0,8.025716197608862e-06,0,0.0,551,0.2,0.02,0.2,0.19019910888459338,0.01879227592674898,0.19509714668878952,1.0
100,2.0,11.732851621374003,5,edge_flip_approx_dp,approx,1e-05,8.025635940446885e-06,0,0.0,551,0.2,0.02,0.2,0.19019910893432163,0.018792276003990954,0.19509714673773157,1.0
100,2.0,11.732851621374003,6,edge_flip_pure_dp,pure,0.0,8.025716197608862e-06,0,0.0,954,0.2,0.02,0.2,0.06948461503513195,0.10916039313113964,0.20640554379869108,0.019622102805851988
100,2.0,11.732851621374003,6,edge_flip_approx_dp,approx,1e-05,8.025635940446885e-06,0,0.0,954,0.2,0.02,0.2,0.06948461510423694,0.10916039319387599,0.20640554384581794,0.019622102805851988
100,2.0,11.732851621374003,7,edge_flip_pure_dp,pure,0.0,8.025716197608862e-06,0,0.0,214,0.2,0.02,0.2,0.1967298259568549,0.01879227592674898,0.21550563753960683,1.0
100,2.0,11.732851621374003,7,edge_flip_approx_dp,approx,1e-05,8.025635940446885e-06,0,0.0,214,0.2,0.02,0.2,0.19672982600553487,0.018792276003990954,0.21550563758527297,1.0
100,2.0,11.732851621374003,8,edge_flip_pure_dp,pure,0.0,8.025716197608862e-06,0,0.0,227,0.2,0.02,0.2,0.10625630611234278,0.0,0.0,0.0
100,2.0,11.732851621374003,8,edge_flip_approx_dp,approx,1e-05,8.025635940446885e-06,0,0.0,227,0.2,0.02,0.2,0.1062563061755453,0.0,0.0,0.0
100,2.0,11.732851621374003,9,edge_flip_pure_dp,pure,0.0,8.025716197608862e-06,0,0.0,456,0.2,0.02,0.2,0.19999518449298567,0.01839226950607296,0.20979126010137797,1.0
100,2.0,11.732851621374003,9,edge_flip_approx_dp,approx,1e-05,8.025635940446885e-06,0,0.0,456,0.2,0.02,0.2,0.1999951845411415,0.01839226958337914,0.20979126014796137,1.0
100,2.0,11.732851621374003,10,edge_flip_pure_dp,pure,0.0,8.025716197608862e-06,0,0.0,171,0.2,0.02,0.2,0.19509714668878952,0.017592256664720925,0.19999518449298567,1.0
100,2.0,11.732851621374003,10,edge_flip_approx_dp,approx,1e-05,8.025635940446885e-06,0,0.0,171,0.2,0.02,0.2,0.19509714673773157,0.017592256742155518,0.1999951845411415,1.0
100,2.0,11.732851621374003,11,edge_flip_pure_dp,pure,0.0,8.025716197608862e-06,0,0.0,199,0.2,0.02,0.2,0.1125190329007047,0.0,0.0,0.0
100,2.0,11.732851621374003,11,edge_flip_approx_dp,approx,1e-05,8.025635940446885e-06,0,0.0,199,0.2,0.02,0.2,0.11251903296290194,0.0,0.0,0.0
100,2.0,11.732851621374003,12,edge_flip_pure_dp,pure,0.0,8.025716197608862e-06,0,0.0,181,0.2,0.02,0.2,0.1844847314463645,0.01879227592674898,0.1975461655908876,1.0
100,2.0,11.732851621374003,12,edge_flip_approx_dp,approx,1e-05,8.025635940446885e-06,0,0.0,181,0.2,0.02,0.2,0.18448473149701003,0.018792276003990954,0.19754616563943656,1.0
100,2.0,11.732851621374003,13,edge_flip_pure_dp,pure,0.0,8.025716197608862e-06,0,0.0,656,0.2,0.02,0.2,0.21877099607573758,0.02319234655418519,0.18938276925056066,1.0
100,2.0,11.732851621374003,13,edge_flip_approx_dp,approx,1e-05,8.025635940446885e-06,0,0.0,656,0.2,0.02,0.2,0.21877099612087958,0.023192346630720874,0.18938276930041997,1.0
100,2.0,11.732851621374003,14,edge_flip_pure_dp,pure,0.0,8.025716197608862e-06,0,0.0,533,0.2,0.02,0.2,0.2081585808333126,0.021992327292157134,0.17877035400813568,1.0
100,2.0,11.732851621374003,14,edge_flip_approx_dp,approx,1e-05,8.025635940446885e-06,0,0.0,533,0.2,0.02,0.2,0.20815858088015807,0.021992327368885442,0.17877035405969846,1.0
100,2.0,11.732851621374003,15,edge_flip_pure_dp,pure,0.0,8.025716197608862e-06,0,0.0,268,0.2,0.02,0.2,0.19183178815265875,0.017592256664720925,0.1942808070547568,1.0
100,2.0,11.732851621374003,15,edge_flip_approx_dp,approx,1e-05,8.025635940446885e-06,0,0.0,268,0.2,0.02,0.2,0.19183178820212493,0.017592256742155518,0.19428080710382992,1.0
100,2.0,11.732851621374003,16,edge_flip_pure_dp,pure,0.0,8.025716197608862e-06,0,0.0,775,0.2,0.02,0.2,0.19264812778669144,0.021192314450805095,0.19346446742072412,1.0
100,2.0,11.732851621374003,16,edge_flip_approx_dp,approx,1e-05,8.025635940446885e-06,0,0.0,775,0.2,0.02,0.2,0.1926481278360266,0.02119231452766182,0.19346446746992824,1.0
100,2.0,11.732851621374003,17,edge_flip_pure_dp,pure,0.0,8.025716197608862e-06,0,0.0,243,0.2,0.02,0.2,0.1975461655908876,0.024392365816213252,0.188566429616528,1.0
100,2.0,11.732851621374003,17,edge_flip_approx_dp,approx,1e-05,8.025635940446885e-06,0,0.0,243,0.2,0.02,0.2,0.19754616563943656,0.024392365892556313,0.18856642966651832,1.0
100,2.0,11.732851621374003,18,edge_flip_pure_dp,pure,0.0,8.025716197608862e-06,0,0.0,247,0.2,0.02,0.2,0.20326054302911642,0.01999229518877704,0.1877500899824953,1.0
100,2.0,11.732851621374003,18,edge_flip_approx_dp,approx,1e-05,8.025635940446885e-06,0,0.0,247,0.2,0.02,0.2,0.20326054307674812,0.019992295265826385,0.18775009003261667,1.0
100,2.0,11.732851621374003,19,edge_flip_pure_dp,pure,0.0,8.025716197608862e-06,0,0.0,127,0.2,0.02,0.2,0.1844847314463645,0.01519221814066481,0.19264812778669144,1.0
100,2.0,11.732851621374003,19,edge_flip_approx_dp,approx,1e-05,8.025635940446885e-06,0,0.0,127,0.2,0.02,0.2,0.18448473149701003,0.015192218218484653,0.1926481278360266,1.0
100,5.0,4.150006096013556,0,edge_flip_pure_dp,pure,0.0,0.015519663438340655,71,0.014343434343434344,192,0.2,0.02,0.2,0.20386953416252254,0.015357007744901055,0.21229429848222317,1.0
100,5.0,4.150006096013556,0,edge_flip_approx_dp,approx,1e-05,0.015519508241706273,64,0.01292929292929293,227,0.2,0.02,0.2,0.20134220053754429,0.014531536354737742,0.2173492476173374,1.0
100,5.0,4.150006096013556,1,edge_flip_pure_dp,pure,0.0,0.015519663438340655,75,0.015151515151515152,413,0.2,0.02,0.2,0.19375981697888178,0.027741411294860994,0.1979721991387321,1.0
100,5.0,4.150006096013556,1,edge_flip_approx_dp,approx,1e-05,0.015519508241706273,54,0.01090909090909091,590,0.2,0.02,0.2,0.19039001043031745,0.02278780274326261,0.19881477205126116,1.0
100,5.0,4.150006096013556,2,edge_flip_pure_dp,pure,0.0,0.015519663438340655,91,0.018383838383838384,267,0.2,0.02,0.2,0.209766869186313,0.020310769164885032,0.19712972270676205,1.0
100,5.0,4.150006096013556,2,edge_flip_approx_dp,approx,1e-05,0.015519508241706273,77,0.015555555555555555,407,0.2,0.02,0.2,0.20892448599639368,0.015357162993590228,0.2047121051859218,1.0
100,5.0,4.150006096013556,3,edge_flip_pure_dp,pure,0.0,0.015519663438340655,89,0.01797979797979798,787,0.2,0.02,0.2,0.20049962843464228,0.025264530584869008,0.22914382712162445,1.0
100,5.0,4.150006096013556,3,edge_flip_approx_dp,approx,1e-05,0.015519508241706273,67,0.013535353535353536,687,0.2,0.02,0.2,0.11546069116525719,0.02568166581075567,0.0,0.018639764244343528
100,5.0,4.150006096013556,4,edge_flip_pure_dp,pure,0.0,0.015519663438340655,88,0.017777777777777778,450,0.2,0.02,0.2,0.1092866624137218,0.0,0.0,0.0
100,5.0,4.150006096013556,4,edge_flip_approx_dp,approx,1e-05,0.015519508241706273,90,0.01818181818181818,332,0.2,0.02,0.2,0.11053773702615015,0.0,0.0,0.0
100,5.0,4.150006096013556,5,edge_flip_pure_dp,pure,0.0,0.015519663438340655,64,0.01292929292929293,532,0.2,0.02,0.2,0.1887049583870614,0.014944194293235723,0.19544476984282189,1.0
100,5.0,4.150006096013556,5,edge_flip_approx_dp,approx,1e-05,0.015519508241706273,67,0.013535353535353536,301,0.2,0.02,0.2,0.18702010578193992,0.01907248286842642,0.1912324865924118,1.0
100,5.0,4.150006096013556,6,edge_flip_pure_dp,pure,0.0,0.015519663438340655,82,0.016565656565656565,944,0.2,0.02,0.2,0.18533505265918115,0.09791969807796731,0.0555936821357913,0.001154464004799172
100,5.0,4.150006096013556,6,edge_flip_approx_dp,approx,1e-05,0.015519508241706273,90,0.01818181818181818,921,0.2,0.02,0.2,0.15818845993798897,0.08675244496426195,0.026152453239231346,0.000356311672099125
100,5.0,4.150006096013556,7,edge_flip_pure_dp,pure,0.0,0.015519663438340655,67,0.013535353535353536,273,0.2,0.02,0.2,0.20134210486661236,0.018659515358223702,0.20892439275434294,1.0
100,5.0,4.150006096013556,7,edge_flip_approx_dp,approx,1e-05,0.015519508241706273,84,0.01696969696969697,167,0.2,0.02,0.2,0.0,0.0,0.11324812750723155,0.0
100,5.0,4.150006096013556,8,edge_flip_pure_dp,pure,0.0,0.015519663438340655,78,0.01575757575757576,299,0.2,0.02,0.2,0.1069932543489144,0.0,0.0,0.0
100,5.0,4.150006096013556,8,edge_flip_approx_dp,approx,1e-05,0.015519508241706273,62,0.012525252525252526,321,0.2,0.02,0.2,0.0,0.0,0.10407449818664836,0.0
100,5.0,4.150006096013556,9,edge_flip_pure_dp,pure,0.0,0.015519663438340655,95,0.01919191919191919,406,0.2,0.02,0.2,0.21819163350601364,0.023613276778207678,0.19712972270676205,1.0
