N,K,dc_sigma,normalize_weights,sigma,epsilon,rep,method,epsilon_gamma,epsilon_beta,epochs,epochs_gamma,epochs_beta,delta,mean_degree,degree_cv,max_degree,min_degree,weight_mean,weight_cv,lcc_size,lcc_frac,n_components,n_isolated,beta_nominal_00,beta_nominal_01,beta_nominal_11,beta_true_00,beta_true_01,beta_true_11,beta_est_00,beta_est_01,beta_est_11,nmi
500,2,0.25,True,10.0,1.9945956405993723,2,sbm_dpsgd_all_noised,1.9223734183771504,0.5431122541136532,11.0,6.0,5.0,1e-05,55.084,0.22137941438244527,96,26,0.9999999999999998,0.18688164048908365,500,1.0,1,0,0.2,0.02,0.2,0.20337349397590362,0.020464,0.19797590361445783,0.19678857922554016,0.035615235567092896,0.2018560916185379,0.7486763718197399
500,2,0.25,True,20.0,0.977390412892278,2,edge_flip_vem,,,442,,,1e-05,55.084,0.22137941438244527,96,26,0.9999999999999998,0.18688164048908365,500,1.0,1,0,0.2,0.02,0.2,0.20337349397590362,0.020464,0.19797590361445783,0.07567470520734787,0.1705886721611023,0.2506429851055145,0.0009793193649419748
500,2,0.25,True,20.0,0.977390412892278,2,edge_flip_spectral,,,,,,1e-05,55.084,0.22137941438244527,96,26,0.9999999999999998,0.18688164048908365,500,1.0,1,0,0.2,0.02,0.2,0.20337349397590362,0.020464,0.19797590361445783,0.19641409814357758,0.029411710798740387,0.20521698892116547,0.6057118663585225
500,2,0.25,True,20.0,0.977390412892278,2,sbm_dpsgd_all_noised,0.9419985000802904,0.40561225411365304,11.0,6.0,5.0,1e-05,55.084,0.22137941438244527,96,26,0.9999999999999998,0.18688164048908365,500,1.0,1,0,0.2,0.02,0.2,0.20337349397590362,0.020464,0.19797590361445783,0.16224494576454163,0.11287067830562592,0.1606927514076233,0.0406025459629712
500,2,0.25,True,1.0,27.43885139089614,3,edge_flip_vem,,,128,,,1e-05,54.732,0.2161682712059612,94,29,1.0,0.18403226468041042,500,1.0,1,0,0.2,0.02,0.2,0.1950843373493976,0.019888,0.20459437751004017,0.20459437370300293,0.019888000562787056,0.1950843334197998,1.0
500,2,0.25,True,1.0,27.43885139089614,3,edge_flip_spectral,,,,,,1e-05,54.732,0.2161682712059612,94,29,1.0,0.18403226468041042,500,1.0,1,0,0.2,0.02,0.2,0.1950843373493976,0.019888,0.20459437751004017,0.1950843334197998,0.019888000562787056,0.20459437370300293,1.0
500,2,0.25,True,1.0,27.43885139089614,3,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,11.0,6.0,5.0,1e-05,54.732,0.2161682712059612,94,29,1.0,0.18403226468041042,500,1.0,1,0,0.2,0.02,0.2,0.1950843373493976,0.019888,0.20459437751004017,0.21560318768024445,0.01173312496393919,0.2228093147277832,1.0
500,2,0.25,True,2.0,11.728684954707337,3,edge_flip_vem,,,131,,,1e-05,54.732,0.2161682712059612,94,29,1.0,0.18403226468041042,500,1.0,1,0,0.2,0.02,0.2,0.1950843373493976,0.019888,0.20459437751004017,0.2045896202325821,0.019880261272192,0.19507941603660583,1.0
500,2,0.25,True,2.0,11.728684954707337,3,edge_flip_spectral,,,,,,1e-05,54.732,0.2161682712059612,94,29,1.0,0.18403226468041042,500,1.0,1,0,0.2,0.02,0.2,0.1950843373493976,0.019888,0.20459437751004017,0.19507941603660583,0.019880261272192,0.2045896202325821,1.0
500,2,0.25,True,2.0,11.728684954707337,3,sbm_dpsgd_all_noised,11.245049229064149,2.668102829441137,11.0,6.0,5.0,1e-05,54.732,0.2161682712059612,94,29,1.0,0.18403226468041042,500,1.0,1,0,0.2,0.02,0.2,0.1950843373493976,0.019888,0.20459437751004017,0.216152623295784,0.01186483446508646,0.22225633263587952,1.0
500,2,0.25,True,5.0,4.1484505404580005,3,edge_flip_vem,,,133,,,1e-05,54.732,0.2161682712059612,94,29,1.0,0.18403226468041042,500,1.0,1,0,0.2,0.02,0.2,0.1950843373493976,0.019888,0.20459437751004017,0.20493166148662567,0.019445037469267845,0.1949838548898697,1.0
500,2,0.25,True,5.0,4.1484505404580005,3,edge_flip_spectral,,,,,,1e-05,54.732,0.2161682712059612,94,29,1.0,0.18403226468041042,500,1.0,1,0,0.2,0.02,0.2,0.1950843373493976,0.019888,0.20459437751004017,0.1949838548898697,0.019445037469267845,0.20493166148662567,1.0
500,2,0.25,True,5.0,4.1484505404580005,3,sbm_dpsgd_all_noised,3.992894984902444,1.0338953100711687,11.0,6.0,5.0,1e-05,54.732,0.2161682712059612,94,29,1.0,0.18403226468041042,500,1.0,1,0,0.2,0.02,0.2,0.1950843373493976,0.019888,0.20459437751004017,0.21454006433486938,0.01431412622332573,0.21764135360717773,0.981182940453905
500,2,0.25,True,10.0,1.9945956405993723,3,edge_flip_vem,,,256,,,1e-05,54.732,0.2161682712059612,94,29,1.0,0.18403226468041042,500,1.0,1,0,0.2,0.02,0.2,0.1950843373493976,0.019888,0.20459437751004017,0.1896180361509323,0.019951801747083664,0.20508114993572235,1.0
500,2,0.25,True,10.0,1.9945956405993723,3,edge_flip_spectral,,,,,,1e-05,54.732,0.2161682712059612,94,29,1.0,0.18403226468041042,500,1.0,1,0,0.2,0.02,0.2,0.1950843373493976,0.019888,0.20459437751004017,0.1896180361509323,0.019951801747083664,0.20508114993572235,1.0
500,2,0.25,True,10.0,1.9945956405993723,3,sbm_dpsgd_all_noised,1.9223734183771504,0.5431122541136532,11.0,6.0,5.0,1e-05,54.732,0.2161682712059612,94,29,1.0,0.18403226468041042,500,1.0,1,0,0.2,0.02,0.2,0.1950843373493976,0.019888,0.20459437751004017,0.21296919882297516,0.018486950546503067,0.21336433291435242,0.9342752643999082
500,2,0.25,True,20.0,0.977390412892278,3,edge_flip_vem,,,547,,,1e-05,54.732,0.2161682712059612,94,29,1.0,0.18403226468041042,500,1.0,1,0,0.2,0.02,0.2,0.1950843373493976,0.019888,0.20459437751004017,0.050206199288368225,0.13244378566741943,0.2121790051460266,5.092096389753688e-05
500,2,0.25,True,20.0,0.977390412892278,3,edge_flip_spectral,,,,,,1e-05,54.732,0.2161682712059612,94,29,1.0,0.18403226468041042,500,1.0,1,0,0.2,0.02,0.2,0.1950843373493976,0.019888,0.20459437751004017,0.18949833512306213,0.018646053969860077,0.21750709414482117,0.6814662215550894
