N,sigma,epsilon,rep,method,epsilon_gamma,epsilon_beta,epochs,epochs_gamma,epochs_beta,delta,beta_true_00,beta_true_01,beta_true_11,beta_est_00,beta_est_01,beta_est_11,nmi
1000,2.0,11.728684954707337,12,edge_flip_spectral,,,,,,1e-05,0.2,0.02,0.2,0.2012777477502823,0.01962425746023655,0.20073264837265015,1.0
1000,2.0,11.728684954707337,12,sbm_dpsgd_all_noised,11.245049229064149,2.668102829441137,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.2185698300600052,0.0108060073107481,0.21993999183177948,1.0
1000,5.0,4.1484505404580005,12,edge_flip_vem,,,193,,,1e-05,0.2,0.02,0.2,0.20126226544380188,0.019502833485603333,0.20165938138961792,1.0
1000,5.0,4.1484505404580005,12,edge_flip_spectral,,,,,,1e-05,0.2,0.02,0.2,0.20165938138961792,0.019502833485603333,0.20126226544380188,1.0
1000,5.0,4.1484505404580005,12,sbm_dpsgd_all_noised,3.992894984902444,1.0338953100711687,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.21993933618068695,0.010931569151580334,0.21952815353870392,1.0
1000,10.0,1.9945956405993723,12,edge_flip_vem,,,353,,,1e-05,0.2,0.02,0.2,0.20253093540668488,0.01966250129044056,0.20049650967121124,1.0
1000,10.0,1.9945956405993723,12,edge_flip_spectral,,,,,,1e-05,0.2,0.02,0.2,0.20049650967121124,0.01966250129044056,0.20253093540668488,1.0
1000,10.0,1.9945956405993723,12,sbm_dpsgd_all_noised,1.9223734183771504,0.5431122541136532,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.22045721113681793,0.011243446730077267,0.2203633189201355,1.0
1000,20.0,0.977390412892278,12,edge_flip_vem,,,262,,,1e-05,0.2,0.02,0.2,0.0,0.0,0.10917289555072784,0.0
1000,20.0,0.977390412892278,12,edge_flip_spectral,,,,,,1e-05,0.2,0.02,0.2,0.20155471563339233,0.017933784052729607,0.19962579011917114,0.9707802993199612
1000,20.0,0.977390412892278,12,sbm_dpsgd_all_noised,0.9419985000802904,0.40561225411365304,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.2156413495540619,0.01271831151098013,0.21583551168441772,1.0
1000,1.0,27.43885139089614,13,edge_flip_vem,,,165,,,1e-05,0.2,0.02,0.2,0.19975149631500244,0.019972000271081924,0.19905410706996918,1.0
1000,1.0,27.43885139089614,13,edge_flip_spectral,,,,,,1e-05,0.2,0.02,0.2,0.19905410706996918,0.019972000271081924,0.19975149631500244,1.0
1000,1.0,27.43885139089614,13,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.21669475734233856,0.010398524813354015,0.21412372589111328,1.0
1000,2.0,11.728684954707337,13,edge_flip_vem,,,100,,,1e-05,0.2,0.02,0.2,0.19975468516349792,0.019968261942267418,0.19904926419258118,1.0
1000,2.0,11.728684954707337,13,edge_flip_spectral,,,,,,1e-05,0.2,0.02,0.2,0.19904926419258118,0.019968261942267418,0.19975468516349792,1.0
1000,2.0,11.728684954707337,13,sbm_dpsgd_all_noised,11.245049229064149,2.668102829441137,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.21689678728580475,0.010401662439107895,0.21394558250904083,1.0
1000,5.0,4.1484505404580005,13,edge_flip_vem,,,204,,,1e-05,0.2,0.02,0.2,0.2002032995223999,0.020006490871310234,0.19932633638381958,1.0
1000,5.0,4.1484505404580005,13,edge_flip_spectral,,,,,,1e-05,0.2,0.02,0.2,0.19932633638381958,0.020006490871310234,0.2002032995223999,1.0
1000,5.0,4.1484505404580005,13,sbm_dpsgd_all_noised,3.992894984902444,1.0338953100711687,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.21731752157211304,0.010447715409100056,0.21390046179294586,1.0
1000,10.0,1.9945956405993723,13,edge_flip_vem,,,503,,,1e-05,0.2,0.02,0.2,0.2002435177564621,0.019425801932811737,0.19665955007076263,1.0
1000,10.0,1.9945956405993723,13,edge_flip_spectral,,,,,,1e-05,0.2,0.02,0.2,0.19665955007076263,0.019425801932811737,0.2002435177564621,1.0
1000,10.0,1.9945956405993723,13,sbm_dpsgd_all_noised,1.9223734183771504,0.5431122541136532,11.0,6.0,5.0,1e-05,0.2,0.02,0.2,0.21752862632274628,0.010848945006728172,0.2160901427268982,1.0
1000,20.0,0.977390412892278,13,edge_flip_vem,,,421,,,1e-05,0.2,0.02,0.2,0.08499906957149506,0.14133486151695251,0.19655238091945648,0.000872634130091974
1000,20.0,0.977390412892278,13,edge_flip_spectral,,,,,,1e-05,0.2,0.02,0.2,0.20218242704868317,0.019838355481624603,0.19000402092933655,0.9426658735052291
