regime,N,p,q,sigma,epsilon,rep,method,epsilon_gamma,epsilon_beta,epochs,epochs_gamma,epochs_beta,delta,n_fit,mean_degree,lcc_size,lcc_frac,n_components,n_isolated,beta_true_00,beta_true_01,beta_true_11,beta_est_00,beta_est_01,beta_est_11,nmi
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,10.0,1.9945956405993723,0,edge_flip_spectral,,,,,,1e-05,476,3.516,476,0.952,22,19,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.03448783978819847,0.0,0.03088870458304882,0.0004447906571397509
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,10.0,1.9945956405993723,0,sbm_dpsgd_all_noised,1.9223734183771504,0.5431122541136532,11.0,6.0,5.0,1e-05,476,3.516,476,0.952,22,19,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.11371833831071854,0.007108548656105995,0.1164110004901886,0.0003195022288973078
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,20.0,0.977390412892278,0,edge_flip_vem,,,460,,,1e-05,476,3.516,476,0.952,22,19,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.0,0.09903652966022491,0.1774928867816925,0.00031888355112360433
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,20.0,0.977390412892278,0,edge_flip_spectral,,,,,,1e-05,476,3.516,476,0.952,22,19,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.06630253046751022,0.0,0.07671608030796051,0.009299146491346819
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,20.0,0.977390412892278,0,sbm_dpsgd_all_noised,0.9419985000802904,0.40561225411365304,11.0,6.0,5.0,1e-05,476,3.516,476,0.952,22,19,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.11663385480642319,0.007352150045335293,0.11584405601024628,0.0004638771215471528
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.43885139089614,1,edge_flip_vem,,,302,,,1e-05,488,3.6,488,0.976,13,12,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.0075739724561572075,0.0,0.0,0.0
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.43885139089614,1,edge_flip_spectral,,,,,,1e-05,488,3.6,488,0.976,13,12,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.013984610326588154,0.001209372654557228,0.013944155536592007,0.7173151190239279
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.43885139089614,1,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,10.999722287676306,5.999848520550712,4.999873767125593,1e-05,488,3.6,488,0.976,13,12,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.12206843495368958,0.006484667770564556,0.10686243325471878,0.006939727803701736
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,2.0,11.728684954707337,1,edge_flip_vem,,,302,,,1e-05,488,3.6,488,0.976,13,12,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.007566035259515047,0.0,0.0,0.0
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,2.0,11.728684954707337,1,edge_flip_spectral,,,,,,1e-05,488,3.6,488,0.976,13,12,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.013976776041090488,0.0012013327796012163,0.013936320319771767,0.7173151190239279
