regime,N,p,q,sigma,epsilon,rep,method,epsilon_gamma,epsilon_beta,epsilon_rho,epochs,epochs_gamma,epochs_beta,delta,n_fit,mean_degree,lcc_size,lcc_frac,n_components,n_isolated,beta_true_00,beta_true_01,beta_true_11,beta_est_00,beta_est_01,beta_est_11,nmi
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,inf,19,spectral,,,,,,,1e-05,488,3.312,488,0.976,13,12,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.01298417894162575,0.001194180472626356,0.012547838634795156,0.6143769096732136
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,75.26107361311833,19,edge_flip_vem,,,,249,,,1e-05,488,3.312,488,0.976,13,12,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.0069680544547736645,0.0,0.0,0.0
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,0.5,75.26107361311833,19,sbm_dpsgd_all_noised,70.77218472422943,12.423129399151788,1.0338953100711687,10.999722287676306,5.999848520550712,4.999873767125593,1e-05,488,3.312,488,0.976,13,12,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.11623343080282211,0.006104583386331797,0.11136072874069214,0.003104247413736438
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,inf,0,spectral,,,,,,,1e-05,485,3.328,485,0.97,15,13,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.007206436002480761,0.0003479471120389701,0.3333333333333333,0.022439706488874195
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.449962502007253,0,edge_flip_vem,,,,554,,,1e-05,485,3.328,485,0.97,15,13,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.007080173585563898,0.0,0.0,0.0
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.449962502007253,0,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,11.0,6.0,5.0,1e-05,485,3.328,485,0.97,15,13,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.10767365247011185,0.006108983885496855,0.12065573036670685,0.0006647759644729078
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,inf,1,spectral,,,,,,,1e-05,479,3.588,479,0.958,20,18,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.013378827332315704,0.0013162513162513162,0.015483603154836031,0.5751478976842598
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.449962502007253,1,edge_flip_vem,,,,213,,,1e-05,479,3.588,479,0.958,20,18,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.0,0.0,0.007817891426384449,0.0
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.449962502007253,1,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,10.999903914186634,5.999947589556346,4.999956324630288,1e-05,479,3.588,479,0.958,20,18,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.1024322584271431,0.006532083265483379,0.12814797461032867,0.001529095520460202
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,inf,2,spectral,,,,,,,1e-05,483,3.54,483,0.966,18,17,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.014643832216430876,0.0012519293431658377,0.013348946135831381,0.66439037466286
