N,sigma,epsilon,rep,method,epsilon_gamma,epsilon_beta,epsilon_rho,epochs,epochs_gamma,epochs_beta,delta,beta_true_00,beta_true_01,beta_true_11,beta_est_00,beta_est_01,beta_est_11,nmi
1222,0.1,1605.2121193253029,17,sbm_dpsgd_all_noised,1492.990214668161,122.62372215520968,5.635908993701224,10.999985255304406,5.999991957438766,4.999993297865639,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.13618716597557068,0.005773138254880905,0.11655076593160629,0.24273405540374235
1222,0.1,1605.2121193253029,18,edge_flip_vem,,,,296,,,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.15927202999591827,0.022182203829288483,0.0021076255943626165,0.000435334001183433
1222,0.1,1605.2121193253029,18,sbm_dpsgd_all_noised,1492.990214668161,122.62372215520968,5.635908993701224,10.999985255304406,5.999991957438766,4.999993297865639,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.1508651077747345,0.008324076421558857,0.10487484931945801,0.22543286989139108
1222,0.1,1605.2121193253029,19,edge_flip_vem,,,,283,,,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.15927202999591827,0.022182203829288483,0.0021076255943626165,0.000435334001183433
1222,0.1,1605.2121193253029,19,sbm_dpsgd_all_noised,1492.990214668161,122.62372215520968,5.635908993701224,10.999985255304406,5.999991957438766,4.999993297865639,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.11970886588096619,0.00917352270334959,0.12743456661701202,0.005966106975575132
1222,0.5,75.2608932193835,0,edge_flip_vem,,,,300,,,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.0021076255943626165,0.022182203829288483,0.15927202999591827,0.000435334001183433
1222,0.5,75.2608932193835,0,sbm_dpsgd_all_noised,70.77201703309784,12.423110533899475,1.033893800850985,10.999985255304406,5.999991957438766,4.999993297865639,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.1060105413198471,0.012515630573034286,0.14252008497714996,0.04165470583553716
1222,0.5,75.2608932193835,1,edge_flip_vem,,,,288,,,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.15927202999591827,0.022182203829288483,0.0021076255943626165,0.000435334001183433
1222,0.5,75.2608932193835,1,sbm_dpsgd_all_noised,70.77201703309784,12.423110533899475,1.033893800850985,10.999985255304406,5.999991957438766,4.999993297865639,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.11859283596277237,0.00478764995932579,0.13549436628818512,0.32284973099867864
1222,0.5,75.2608932193835,2,edge_flip_vem,,,,267,,,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.0021076255943626165,0.022182203829288483,0.15927202999591827,0.000435334001183433
1222,0.5,75.2608932193835,2,sbm_dpsgd_all_noised,70.77201703309784,12.423110533899475,1.033893800850985,10.999985255304406,5.999991957438766,4.999993297865639,1e-05,0.042592106414632014,0.0042259643248116424,0.03882533551230624,0.125982403755188,0.007507167756557465,0.12528179585933685,0.2542742610613182
