N,K,dc_sigma,normalize_weights,sigma,epsilon,rep,method,epsilon_gamma,epsilon_beta,epsilon_rho,epochs,epochs_gamma,epochs_beta,delta,mean_degree,degree_cv,max_degree,min_degree,weight_mean,weight_cv,lcc_size,lcc_frac,n_components,n_isolated,beta_nominal_00,beta_nominal_01,beta_nominal_11,beta_true_00,beta_true_01,beta_true_11,beta_est_00,beta_est_01,beta_est_11,nmi
500,2,0.25,True,1.0,27.449962502007253,3,edge_flip_vem,,,,108,,,1e-05,54.7,0.22502632249762164,102,26,1.0,0.18754822882736677,500,1.0,1,0,0.2,0.02,0.2,0.19103614457831325,0.019696,0.2087710843373494,0.1910361498594284,0.01969599910080433,0.20877107977867126,1.0
500,2,0.25,True,1.0,27.449962502007253,3,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,11.0,6.0,5.0,1e-05,54.7,0.22502632249762164,102,26,1.0,0.18754822882736677,500,1.0,1,0,0.2,0.02,0.2,0.19103614457831325,0.019696,0.2087710843373494,0.22308936715126038,0.012016169726848602,0.2099442034959793,1.0
500,2,0.25,True,1.0,27.449962502007253,4,edge_flip_vem,,,,255,,,1e-05,54.12,0.2219492628497291,97,25,1.0,0.19149466541108426,500,1.0,1,0,0.2,0.02,0.2,0.19823293172690762,0.0192,0.19791164658634539,0.19791164994239807,0.019200000911951065,0.19823293387889862,1.0
500,2,0.25,True,1.0,27.449962502007253,4,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,11.0,6.0,5.0,1e-05,54.12,0.2219492628497291,97,25,1.0,0.19149466541108426,500,1.0,1,0,0.2,0.02,0.2,0.19823293172690762,0.0192,0.19791164658634539,0.21403639018535614,0.011759139597415924,0.2247212529182434,1.0
500,2,0.25,True,1.0,27.449962502007253,5,edge_flip_vem,,,,210,,,1e-05,55.28,0.22819856521621606,107,27,0.9999999999999999,0.19839433549216073,500,1.0,1,0,0.2,0.02,0.2,0.19659437751004016,0.020576,0.20610441767068274,0.20610441267490387,0.020576000213623047,0.19659437239170074,1.0
500,2,0.25,True,1.0,27.449962502007253,5,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,11.0,6.0,5.0,1e-05,55.28,0.22819856521621606,107,27,0.9999999999999999,0.19839433549216073,500,1.0,1,0,0.2,0.02,0.2,0.19659437751004016,0.020576,0.20610441767068274,0.22158946096897125,0.01215339731425047,0.21459858119487762,1.0
500,2,0.25,True,1.0,27.449962502007253,6,edge_flip_vem,,,,309,,,1e-05,54.704,0.2227968442614694,93,29,1.0000000000000002,0.19290200463445561,500,1.0,1,0,0.2,0.02,0.2,0.198714859437751,0.02088,0.19874698795180723,0.19871485233306885,0.020880000665783882,0.19874699413776398,1.0
500,2,0.25,True,1.0,27.449962502007253,6,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,11.0,6.0,5.0,1e-05,54.704,0.2227968442614694,93,29,1.0000000000000002,0.19290200463445561,500,1.0,1,0,0.2,0.02,0.2,0.198714859437751,0.02088,0.19874698795180723,0.23054885864257812,0.01171566080302,0.21270345151424408,1.0
500,2,0.25,True,1.0,27.449962502007253,7,edge_flip_vem,,,,441,,,1e-05,55.312,0.2120124903653836,97,31,1.0,0.17994191612260307,500,1.0,1,0,0.2,0.02,0.2,0.19938955823293172,0.021344,0.20202409638554217,0.1648847758769989,0.11922124028205872,0.08278079330921173,0.001834112280531334
500,2,0.25,True,1.0,27.449962502007253,7,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,11.0,6.0,5.0,1e-05,55.312,0.2120124903653836,97,31,1.0,0.17994191612260307,500,1.0,1,0,0.2,0.02,0.2,0.19938955823293172,0.021344,0.20202409638554217,0.22415323555469513,0.013398872688412666,0.21745680272579193,1.0
