regime,N,p,q,sigma,epsilon,rep,method,epsilon_gamma,epsilon_beta,epsilon_rho,epochs,epochs_gamma,epochs_beta,delta,mean_degree,lcc_size,lcc_frac,n_components,n_isolated,beta_true_00,beta_true_01,beta_true_11,beta_est_00,beta_est_01,beta_est_11,nmi
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.449962502007253,5,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,11.0,6.0,5.0,1e-05,3.408,478,0.956,23,22,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.10449834167957306,0.005997232161462307,0.12276154011487961,0.004625200009728827
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.449962502007253,6,edge_flip_vem,,,,344,,,1e-05,3.304,476,0.952,22,19,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.00898462999612093,0.0018589901737868786,0.00025536262546665967,2.3537408551879442e-05
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.449962502007253,6,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,11.0,6.0,5.0,1e-05,3.304,476,0.952,22,19,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.11303937435150146,0.00610642833635211,0.11547970771789551,0.0011553702977419621
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.449962502007253,7,edge_flip_vem,,,,260,,,1e-05,3.24,474,0.948,25,22,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.0,0.0,0.006492985878139734,0.0
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.449962502007253,7,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,11.0,6.0,5.0,1e-05,3.24,474,0.948,25,22,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.13540785014629364,0.0059395432472229,0.10061225295066833,0.0009424719914253799
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.449962502007253,8,edge_flip_vem,,,,388,,,1e-05,3.46,473,0.946,28,27,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.0,0.0,0.006933867931365967,0.0
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.449962502007253,8,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,11.0,6.0,5.0,1e-05,3.46,473,0.946,28,27,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.10599762201309204,0.005964066367596388,0.12214965373277664,1.1543852922255368e-05
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.449962502007253,9,edge_flip_vem,,,,306,,,1e-05,3.316,485,0.97,16,15,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.006645290646702051,0.0,0.0,0.0
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.449962502007253,9,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,11.0,6.0,5.0,1e-05,3.316,485,0.97,16,15,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.0940869152545929,0.005940879695117474,0.13978952169418335,0.0009350887961088373
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.449962502007253,10,edge_flip_vem,,,,223,,,1e-05,3.684,490,0.98,11,10,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.0,0.0,0.0073827654123306274,0.0
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.449962502007253,10,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,11.0,6.0,5.0,1e-05,3.684,490,0.98,11,10,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.12463533133268356,0.006386282853782177,0.10456876456737518,0.002270457627475247
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.449962502007253,11,edge_flip_vem,,,,337,,,1e-05,3.412,487,0.974,14,13,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.0068376753479242325,0.0,0.0,0.0
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.449962502007253,11,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,11.0,6.0,5.0,1e-05,3.412,487,0.974,14,13,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.10663258284330368,0.006038291845470667,0.12164556235074997,0.0
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.449962502007253,12,edge_flip_vem,,,,839,,,1e-05,3.328,477,0.954,23,21,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.003874461865052581,0.008771929889917374,0.02142857201397419,0.001128672715942191
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.449962502007253,12,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,11.0,6.0,5.0,1e-05,3.328,477,0.954,23,21,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.09367512166500092,0.005805605556815863,0.13886243104934692,0.0025989217677251084
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.449962502007253,13,edge_flip_vem,,,,567,,,1e-05,3.332,483,0.966,18,17,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.0,0.021084336563944817,0.0065614571794867516,0.0
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.449962502007253,13,sbm_dpsgd_all_noised,26.32774027978503,5.635918426327381,0.5431122541136532,11.0,6.0,5.0,1e-05,3.332,483,0.966,18,17,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.10080572962760925,0.005982165690511465,0.13467486202716827,0.029072768891242568
relatively_sparse,500,0.012429216196844383,0.0012429216196844384,1.0,27.449962502007253,14,edge_flip_vem,,,,448,,,1e-05,3.288,478,0.956,22,20,0.012429216196844383,0.0012429216196844384,0.012429216196844383,0.006589178461581469,0.0,0.0,0.0
